athleteName,athleteURL,country
Dominik Windisch,https://www.olympedia.org/athletes/127920,ITA
Sebastian Samuelsson,https://www.olympedia.org/athletes/138154,SWE
Benedikt Doll,https://www.olympedia.org/athletes/137248,GER
Martin Fourcade,https://www.olympedia.org/athletes/118554,FRA
Simon Schempp,https://www.olympedia.org/athletes/118583,GER
Emil Hegle Svendsen,https://www.olympedia.org/athletes/111029,NOR
Jakov Fak,https://www.olympedia.org/athletes/118525,SLO
Dominik Landertinger,https://www.olympedia.org/athletes/118518,AUT
Veronika Vítková,https://www.olympedia.org/athletes/118595,CZE
Anaïs Bescond,https://www.olympedia.org/athletes/127713,FRA
Daria Domrachava,https://www.olympedia.org/athletes/118516,BLR
Hanna Öberg,https://www.olympedia.org/athletes/138149,SWE
Anastasia Kuzmina,https://www.olympedia.org/athletes/118501,SVK
Laura Dahlmeier,https://www.olympedia.org/athletes/127804,GER
Dario Cologna,https://www.olympedia.org/athletes/118753,SUI
Andrey Larkov,https://www.olympedia.org/athletes/137799,ROC
Martin Johnsrud Sundby,https://www.olympedia.org/athletes/118807,NOR
Hans Christer Holund,https://www.olympedia.org/athletes/137722,NOR
Maiken Caspersen Falla,https://www.olympedia.org/athletes/118799,NOR
Yuliya Belorukova,https://www.olympedia.org/athletes/137792,ROC
Ragnhild Haga,https://www.olympedia.org/athletes/137717,NOR
Stina Nilsson,https://www.olympedia.org/athletes/128586,SWE
Charlotte Kalla,https://www.olympedia.org/athletes/118748,SWE
Marit Bjørgen,https://www.olympedia.org/athletes/101008,NOR
Yuzuru Hanyu,https://www.olympedia.org/athletes/127988,JPN
Javier Fernández,https://www.olympedia.org/athletes/119083,ESP
Alina Zagitova,https://www.olympedia.org/athletes/137828,ROC
Yevgeniya Medvedeva,https://www.olympedia.org/athletes/137824,ROC
Kaetlyn Osmond,https://www.olympedia.org/athletes/127480,CAN
Daichi Hara,https://www.olympedia.org/athletes/137451,JPN
Jia Zongyang,https://www.olympedia.org/athletes/118979,CHN
Brady Leman,https://www.olympedia.org/athletes/127472,CAN
Marc Bischofberger,https://www.olympedia.org/athletes/138058,SUI
Øystein Bråten,https://www.olympedia.org/athletes/128198,NOR
Alex Beaulieu-Marchand,https://www.olympedia.org/athletes/127465,CAN
Justine Dufour-Lapointe,https://www.olympedia.org/athletes/127456,CAN
Yuliya Galysheva,https://www.olympedia.org/athletes/119042,KAZ
Zhang Xin,https://www.olympedia.org/athletes/127558,CHN
Kong Fanyu,https://www.olympedia.org/athletes/136949,CHN
Kelsey Serwa,https://www.olympedia.org/athletes/118989,CAN
